id,category,name,coherence,creativity,emotion,style,immersion,score_global,response_length
medieval-fantastique,genres,Médiéval Fantastique,5,4,2,2,0,52.0,115
historique-fantastique,genres,Historique Fantastique,5,4,1,2,0,48.0,121
science-fiction,genres,Science Fiction,5,4,1,2,0,48.0,113
contemporain-fantastique,genres,Contemporain Fantastique,5,4,1,2,0,48.0,128
space-opera,genres,Space Opera,5,4,1,2,0,48.0,124
contemporain,genres,Contemporain,5,4,1,2,0,48.0,114
post-apocalyptique,genres,Post-Apocalyptique,5,4,2,2,0,52.0,116
cyberpunk,genres,Cyberpunk / Anticipation,5,4,2,2,1,56.0,117
super-heros,genres,Super-héros,5,4,1,2,1,52.0,119
oriental-manga,genres,Oriental / Manga,5,4,1,2,0,48.0,110
merveilleux-onirique,genres,Merveilleux / Onirique,5,4,1,2,0,48.0,114
humoristique,genres,Humoristique,5,4,1,3,0,52.0,125
univers-parallèles,genres,Univers parallèles,5,4,1,2,0,48.0,125
generique,genres,Générique,5,4,1,2,0,48.0,131
romance-relation,situations,Romance / Relation,5,4,1,2,0,48.0,139
combat-bataille,situations,Combat / Bataille,5,4,1,2,0,48.0,142
enquete-investigation,situations,Enquête / Investigation,5,4,1,3,1,56.0,145
diplomatie-negociation,situations,Diplomatie / Négociation,5,4,1,2,0,48.0,148
exploration-decouverte,situations,Exploration / Découverte,5,4,2,2,1,56.0,151
introspection-monologue,situations,Introspection / Monologue intérieur,5,4,1,2,0,48.0,154
medieval-combat,couples,Médiéval Fantastique + Combat,5,4,1,3,0,52.0,137
cyberpunk-enquete,couples,Cyberpunk + Enquête,5,4,1,3,0,52.0,167
contemporain-romance,couples,Contemporain + Romance,5,4,1,2,0,48.0,153
scifi-exploration,couples,Science-Fiction + Exploration,5,4,1,2,0,48.0,149
postapoc-introspection,couples,Post-Apocalyptique + Introspection,5,4,2,2,0,52.0,137
spaceopera-diplomatie,couples,Space-Opera + Diplomatie,5,4,1,2,0,48.0,168
